timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:21.026, 0 %, 0 MiB
2022/01/04 14:53:22.786, 0 %, 0 MiB
2022/01/04 14:53:24.542, 0 %, 0 MiB
2022/01/04 14:53:26.352, 0 %, 0 MiB
2022/01/04 14:53:28.106, 0 %, 0 MiB
2022/01/04 14:53:29.890, 0 %, 0 MiB
2022/01/04 14:53:31.659, 0 %, 0 MiB
2022/01/04 14:53:33.430, 0 %, 0 MiB
2022/01/04 14:53:35.186, 0 %, 0 MiB
2022/01/04 14:53:36.945, 0 %, 0 MiB
2022/01/04 14:53:38.778, 0 %, 0 MiB
2022/01/04 14:53:40.597, 0 %, 0 MiB
2022/01/04 14:53:42.350, 0 %, 0 MiB
2022/01/04 14:53:44.150, 0 %, 0 MiB
2022/01/04 14:53:45.890, 0 %, 0 MiB
2022/01/04 14:53:47.639, 0 %, 0 MiB
2022/01/04 14:53:49.435, 0 %, 0 MiB
2022/01/04 14:53:51.186, 0 %, 0 MiB
2022/01/04 14:53:52.934, 0 %, 0 MiB
2022/01/04 14:53:54.734, 0 %, 0 MiB
2022/01/04 14:53:56.487, 0 %, 0 MiB
2022/01/04 14:53:58.296, 0 %, 0 MiB
2022/01/04 14:54:00.121, 0 %, 0 MiB
2022/01/04 14:54:01.906, 0 %, 0 MiB
2022/01/04 14:54:03.699, 0 %, 0 MiB
2022/01/04 14:54:05.454, 0 %, 0 MiB
2022/01/04 14:54:07.243, 0 %, 0 MiB
2022/01/04 14:54:09.050, 0 %, 0 MiB
2022/01/04 14:54:10.845, 0 %, 0 MiB
2022/01/04 14:54:12.582, 0 %, 0 MiB
2022/01/04 14:54:14.383, 0 %, 0 MiB
2022/01/04 14:54:16.132, 0 %, 0 MiB
2022/01/04 14:54:17.942, 0 %, 0 MiB
2022/01/04 14:54:19.698, 0 %, 0 MiB
2022/01/04 14:54:21.522, 0 %, 0 MiB
2022/01/04 14:54:23.270, 0 %, 0 MiB
2022/01/04 14:54:25.034, 0 %, 0 MiB
2022/01/04 14:54:26.784, 0 %, 0 MiB
2022/01/04 14:54:28.546, 0 %, 0 MiB
2022/01/04 14:54:30.338, 0 %, 0 MiB
2022/01/04 14:54:31.657, 0 %, 0 MiB
2022/01/04 14:54:32.671, 77 %, 5111 MiB
2022/01/04 14:54:33.685, 67 %, 8473 MiB
2022/01/04 14:54:34.698, 62 %, 11711 MiB
2022/01/04 14:54:35.733, 49 %, 14759 MiB
2022/01/04 14:54:36.747, 88 %, 14923 MiB
2022/01/04 14:54:37.760, 89 %, 14923 MiB
2022/01/04 14:54:38.773, 88 %, 14923 MiB
2022/01/04 14:54:39.786, 88 %, 14923 MiB
2022/01/04 14:54:40.799, 89 %, 14923 MiB
2022/01/04 14:54:41.813, 90 %, 14923 MiB
2022/01/04 14:54:42.826, 88 %, 14923 MiB
2022/01/04 14:54:43.838, 89 %, 14923 MiB
2022/01/04 14:54:44.851, 89 %, 14923 MiB
2022/01/04 14:54:45.864, 89 %, 14923 MiB
2022/01/04 14:54:46.877, 89 %, 14923 MiB
2022/01/04 14:54:47.890, 89 %, 14923 MiB
2022/01/04 14:54:48.907, 4 %, 7431 MiB
2022/01/04 14:54:50.696, 0 %, 0 MiB
2022/01/04 14:54:52.013, 0 %, 0 MiB
2022/01/04 14:54:53.028, 77 %, 5117 MiB
2022/01/04 14:54:54.042, 59 %, 8363 MiB
2022/01/04 14:54:55.056, 65 %, 11655 MiB
2022/01/04 14:54:56.093, 52 %, 14759 MiB
2022/01/04 14:54:57.152, 88 %, 14923 MiB
2022/01/04 14:54:58.163, 90 %, 14923 MiB
2022/01/04 14:54:59.175, 88 %, 14923 MiB
2022/01/04 14:55:00.187, 88 %, 14923 MiB
2022/01/04 14:55:01.201, 89 %, 14923 MiB
2022/01/04 14:55:02.214, 89 %, 14923 MiB
2022/01/04 14:55:03.227, 88 %, 14923 MiB
2022/01/04 14:55:04.241, 89 %, 14923 MiB
2022/01/04 14:55:05.253, 90 %, 14923 MiB
2022/01/04 14:55:06.269, 87 %, 14923 MiB
2022/01/04 14:55:07.283, 88 %, 14923 MiB
2022/01/04 14:55:08.296, 86 %, 14923 MiB
2022/01/04 14:55:09.316, 3 %, 5574 MiB
2022/01/04 14:55:11.119, 0 %, 0 MiB
2022/01/04 14:55:12.134, 71 %, 4412 MiB
2022/01/04 14:55:13.150, 72 %, 7981 MiB
2022/01/04 14:55:14.165, 62 %, 11249 MiB
2022/01/04 14:55:15.179, 56 %, 14379 MiB
2022/01/04 14:55:16.191, 86 %, 14899 MiB
2022/01/04 14:55:17.204, 88 %, 14923 MiB
2022/01/04 14:55:18.217, 88 %, 14923 MiB
2022/01/04 14:55:19.230, 89 %, 14923 MiB
2022/01/04 14:55:20.243, 89 %, 14923 MiB
2022/01/04 14:55:21.255, 89 %, 14923 MiB
2022/01/04 14:55:22.269, 88 %, 14923 MiB
2022/01/04 14:55:23.282, 89 %, 14923 MiB
2022/01/04 14:55:24.296, 88 %, 14923 MiB
2022/01/04 14:55:25.309, 88 %, 14923 MiB
2022/01/04 14:55:26.322, 89 %, 14923 MiB
2022/01/04 14:55:27.335, 89 %, 14923 MiB
2022/01/04 14:55:28.349, 9 %, 11153 MiB
2022/01/04 14:55:30.097, 0 %, 0 MiB
2022/01/04 14:55:31.117, 56 %, 3337 MiB
2022/01/04 14:55:32.132, 52 %, 6387 MiB
2022/01/04 14:55:33.145, 35 %, 8883 MiB
2022/01/04 14:55:34.157, 35 %, 11067 MiB
2022/01/04 14:55:35.170, 67 %, 11193 MiB
2022/01/04 14:55:36.182, 66 %, 11193 MiB
2022/01/04 14:55:37.194, 68 %, 11193 MiB
2022/01/04 14:55:38.207, 66 %, 11193 MiB
2022/01/04 14:55:39.220, 67 %, 11193 MiB
2022/01/04 14:55:40.233, 67 %, 11193 MiB
2022/01/04 14:55:41.246, 68 %, 11193 MiB
2022/01/04 14:55:42.259, 67 %, 11193 MiB
2022/01/04 14:55:43.272, 68 %, 11193 MiB
2022/01/04 14:55:44.285, 67 %, 11193 MiB
2022/01/04 14:55:45.297, 67 %, 11193 MiB
2022/01/04 14:55:46.311, 67 %, 5582 MiB
2022/01/04 14:55:47.845, 0 %, 0 MiB
2022/01/04 14:55:49.622, 0 %, 0 MiB
2022/01/04 14:55:51.378, 0 %, 0 MiB
2022/01/04 14:55:53.171, 0 %, 0 MiB
2022/01/04 14:55:54.922, 0 %, 0 MiB
2022/01/04 14:55:56.713, 0 %, 0 MiB
2022/01/04 14:55:58.466, 0 %, 0 MiB
2022/01/04 14:56:00.223, 0 %, 0 MiB
2022/01/04 14:56:02.025, 0 %, 0 MiB
2022/01/04 14:56:03.758, 0 %, 0 MiB
2022/01/04 14:56:05.526, 0 %, 0 MiB
2022/01/04 14:56:07.364, 0 %, 0 MiB
2022/01/04 14:56:09.167, 0 %, 0 MiB
2022/01/04 14:56:10.926, 0 %, 0 MiB
2022/01/04 14:56:12.782, 0 %, 0 MiB
